BAIRRO,VALOR,AREA,QUARTOS
AGUAS CLARAS,799000.0,81.0,3.0
SOBRADINHO,689000.0,95.0,3.0
ASA NORTE,1890000.0,93.0,2.0
NOROESTE,1780000.0,110.0,3.0
PARK WAY,4500000.0,544.0,4.0
VICENTE PIRES,2980000.0,500.0,4.0
JARDIM BOTANICO,2400000.0,650.0,5.0
JARDIM BOTANICO,2100000.0,294.0,4.0
SOBRADINHO,1199000.0,280.0,5.0
TAGUATINGA,3490000.0,1000.0,20.0
AGUAS CLARAS,840000.0,97.0,3.0
ARNIQUEIRA,2300000.0,400.0,4.0
JARDIM BOTANICO,4390000.0,678.0,4.0
ARNIQUEIRA,1500000.0,330.0,3.0
AGUAS CLARAS,1790000.0,180.0,3.0
TAGUATINGA,665000.0,103.0,2.0
TAGUATINGA,680000.0,250.0,4.0
LAGO NORTE,4500000.0,740.0,5.0
AGUAS CLARAS,655000.0,60.0,2.0
LAGO SUL,7000000.0,435.0,4.0
JARDIM BOTANICO,1690000.0,351.0,4.0
LAGO NORTE,9900000.0,1875.0,4.0
LAGO SUL,7300000.0,750.0,4.0
LAGO NORTE,2100000.0,400.0,6.0
AGUAS CLARAS,583284.0,63.0,2.0
ASA SUL,1560000.0,120.0,3.0
JARDIM BOTANICO,1950000.0,340.0,4.0
JARDIM BOTANICO,2590000.0,240.0,3.0
JARDIM BOTANICO,3500000.0,619.0,5.0
VICENTE PIRES,1850000.0,650.0,5.0
ASA SUL,1495000.0,154.0,4.0
ASA NORTE,1885392.0,98.0,3.0
NOROESTE,2460000.0,165.0,4.0
NOROESTE,1583395.0,88.0,3.0
ARNIQUEIRA,1890000.0,500.0,4.0
AGUAS CLARAS,1650000.0,120.0,3.0
ARNIQUEIRA,1980000.0,390.0,5.0
ASA NORTE,920000.0,78.0,3.0
GUARA,985492.0,71.0,2.0
SOBRADINHO,1380000.0,250.0,3.0
JARDIM BOTANICO,2390000.0,426.0,3.0
SOBRADINHO,1899000.0,215.0,3.0
AGUAS CLARAS,1650000.0,151.0,4.0
GUARA,1030000.0,87.0,3.0
SOBRADINHO,1680000.0,382.0,4.0
NOROESTE,5172142.0,343.0,4.0
SOBRADINHO,1180000.0,201.0,3.0
LAGO NORTE,2550000.0,386.0,4.0
PARK WAY,4500000.0,450.0,4.0
PARK WAY,3700000.0,580.0,5.0
ARNIQUEIRA,2200000.0,330.0,4.0
LAGO NORTE,1615000.0,220.0,2.0
LAGO SUL,27500000.0,1046.0,5.0
LAGO SUL,16650000.0,900.0,4.0
AGUAS CLARAS,930000.0,103.0,3.0
LAGO SUL,12900000.0,725.0,5.0
AGUAS CLARAS,510000.0,77.0,3.0
AGUAS CLARAS,670000.0,93.0,3.0
SUDOESTE,5700000.0,241.0,4.0
ARNIQUEIRA,1097000.0,340.0,3.0
ASA NORTE,1760000.0,135.0,3.0
AGUAS CLARAS,1790000.0,180.0,3.0
AGUAS CLARAS,6404289.0,463.0,4.0
ASA SUL,2250000.0,148.0,4.0
SOBRADINHO,1699000.0,817.0,5.0
LAGO NORTE,3295000.0,544.0,5.0
AGUAS CLARAS,448546.0,30.0,1.0
VICENTE PIRES,1890000.0,350.0,3.0
AGUAS CLARAS,840000.0,97.0,2.0
NOROESTE,1795000.0,110.0,3.0
AGUAS CLARAS,1350000.0,185.0,4.0
ARNIQUEIRA,2590000.0,600.0,4.0
SOBRADINHO,1530000.0,233.0,3.0
ASA NORTE,2100000.0,169.0,2.0
ASA SUL,1100000.0,90.0,2.0
NOROESTE,1670000.0,86.0,2.0
VICENTE PIRES,2600000.0,600.0,5.0
LAGO SUL,7900000.0,989.0,6.0
LAGO NORTE,3690000.0,1200.0,6.0
PARK SUL,2319521.0,147.0,4.0
SUDOESTE,2599000.0,173.0,3.0
NOROESTE,5500000.0,310.0,3.0
NOROESTE,2719103.0,202.0,2.0
PARK WAY,2980000.0,1000.0,5.0
NOROESTE,1429489.0,77.0,2.0
LAGO SUL,5900000.0,500.0,3.0
AGUAS CLARAS,870000.0,106.0,3.0
PARK WAY,2690000.0,376.0,5.0
PARK SUL,417500.0,26.0,1.0
GUARA,635000.0,63.0,2.0
SOBRADINHO,2150000.0,441.0,4.0
NOROESTE,589000.0,35.0,1.0
SAMAMBAIA,795000.0,200.0,7.0
SOBRADINHO,1490000.0,340.0,4.0
LAGO SUL,10800000.0,750.0,5.0
SOBRADINHO,1850000.0,400.0,4.0
LAGO SUL,4490000.0,560.0,4.0
NOROESTE,2100000.0,169.0,2.0
LAGO SUL,1400000.0,340.0,5.0
SOBRADINHO,990000.0,283.0,3.0
AGUAS CLARAS,592000.0,74.0,3.0
SUDOESTE,3250000.0,172.0,4.0
SUDOESTE,4300000.0,210.0,4.0
LAGO SUL,8830000.0,930.0,5.0
ASA SUL,1430000.0,114.0,3.0
VICENTE PIRES,2490000.0,400.0,3.0
LAGO NORTE,2700000.0,514.0,5.0
PARK SUL,1752260.0,104.0,3.0
LAGO NORTE,13900000.0,1600.0,9.0
SOBRADINHO,990000.0,375.0,4.0
SOBRADINHO,1580000.0,491.0,4.0
ASA SUL,1550000.0,160.0,3.0
PARK SUL,1200000.0,79.0,3.0
JARDIM BOTANICO,2850000.0,750.0,6.0
PARK WAY,4950000.0,950.0,4.0
SOBRADINHO,629000.0,160.0,4.0
AGUAS CLARAS,540000.0,70.0,3.0
JARDIM BOTANICO,1990000.0,260.0,4.0
JARDIM BOTANICO,1390000.0,172.0,3.0
AGUAS CLARAS,705000.0,79.0,2.0
NOROESTE,490000.0,38.0,1.0
AGUAS CLARAS,899000.0,91.0,3.0
ASA NORTE,1750000.0,257.0,3.0
PARK WAY,1590000.0,380.0,3.0
LAGO SUL,24900000.0,1200.0,4.0
LAGO NORTE,1750000.0,350.0,4.0
JARDIM BOTANICO,3200000.0,438.0,4.0
AGUAS CLARAS,4850000.0,437.0,5.0
SOBRADINHO,1050000.0,154.0,3.0
GUARA,1500000.0,250.0,4.0
SIA,18900000.0,4943.0,17.0
PARK WAY,9500000.0,860.0,5.0
SOBRADINHO,2300000.0,340.0,4.0
SOBRADINHO,2099000.0,302.0,4.0
JARDIM BOTANICO,2900000.0,545.0,4.0
VICENTE PIRES,1180000.0,250.0,3.0
LAGO SUL,6980000.0,650.0,4.0
NOROESTE,1480000.0,71.0,2.0
SAMAMBAIA,700000.0,115.0,2.0
LAGO SUL,8900000.0,641.0,4.0
AGUAS CLARAS,1690000.0,168.0,4.0
SOBRADINHO,560000.0,63.0,2.0
GUARA,935000.0,132.0,3.0
SOBRADINHO,561913.0,72.0,3.0
AGUAS CLARAS,595000.0,68.0,2.0
LAGO SUL,21000000.0,800.0,6.0
NOROESTE,1250000.0,68.0,2.0
SOBRADINHO,1250000.0,201.0,3.0
ASA SUL,2800000.0,157.0,3.0
NOROESTE,5851495.0,404.0,4.0
AGUAS CLARAS,1520000.0,220.0,4.0
LAGO NORTE,930000.0,75.0,2.0
PARK WAY,5000000.0,563.0,4.0
JARDIM BOTANICO,1730000.0,310.0,4.0
SOBRADINHO,1700000.0,290.0,3.0
SOBRADINHO,1870000.0,370.0,5.0
LAGO SUL,4490000.0,560.0,4.0
LAGO SUL,6500000.0,687.0,5.0
PARK WAY,9500000.0,860.0,5.0
VICENTE PIRES,1390000.0,255.0,3.0
ASA NORTE,1840000.0,122.0,3.0
SUDOESTE,1990000.0,173.0,3.0
PARK WAY,3800000.0,660.0,5.0
PARK SUL,3850000.0,203.0,4.0
GUARA,1090000.0,267.0,4.0
LAGO SUL,12900000.0,822.0,4.0
JARDIM BOTANICO,720000.0,185.0,3.0
GUARA,1999000.0,300.0,4.0
GUARA,450000.0,63.0,3.0
ASA NORTE,1630000.0,137.0,3.0
SOBRADINHO,2490000.0,450.0,4.0
NOROESTE,1340000.0,84.0,2.0
AGUAS CLARAS,1402000.0,123.0,3.0
NOROESTE,6000000.0,303.0,3.0
AGUAS CLARAS,1085265.0,84.0,3.0
JARDIM BOTANICO,3300000.0,500.0,5.0
TAGUATINGA,820000.0,408.0,3.0
JARDIM BOTANICO,1260000.0,380.0,4.0
LAGO SUL,14700000.0,650.0,4.0
JARDINS MANGUEIRAL,790000.0,68.0,3.0
,2680000.0,177.0,1.0
ARNIQUEIRA,2890000.0,600.0,4.0
VICENTE PIRES,998000.0,397.0,3.0
ASA SUL,1650000.0,92.0,3.0
SOBRADINHO,1250000.0,363.0,5.0
ASA SUL,4090000.0,300.0,4.0
SOBRADINHO,1200000.0,250.0,3.0
JARDIM BOTANICO,1980000.0,359.0,3.0
AGUAS CLARAS,2600000.0,203.0,4.0
LAGO SUL,27500000.0,1046.0,5.0
NOROESTE,2890000.0,145.0,3.0
PARK WAY,3900000.0,560.0,4.0
LAGO SUL,14500000.0,600.0,5.0
ARNIQUEIRA,1680000.0,350.0,3.0
PARK WAY,5700000.0,850.0,5.0
LAGO NORTE,470000.0,40.0,1.0
ASA NORTE,1690000.0,110.0,3.0
NOROESTE,4500000.0,273.0,4.0
SUDOESTE,5700000.0,249.0,4.0
