BAIRRO,VALOR,AREA,QUARTOS
JARDIM BOTANICO,2499999.0,285.0,4.0
SAMAMBAIA,947000.0,200.0,3.0
SOBRADINHO,320000.0,65.0,2.0
ASA NORTE,330000.0,25.0,1.0
ARNIQUEIRA,1800000.0,400.0,4.0
AGUAS CLARAS,450000.0,60.0,2.0
SUDOESTE,1150000.0,65.0,2.0
ARNIQUEIRA,1450000.0,312.0,4.0
,1850000.0,350.0,4.0
LAGO NORTE,1880000.0,518.0,5.0
GUARA,1490000.0,205.0,3.0
SOBRADINHO,850000.0,200.0,3.0
AGUAS CLARAS,2090000.0,190.0,3.0
SOBRADINHO,849000.0,280.0,5.0
JARDINS MANGUEIRAL,459000.0,68.0,2.0
TAGUATINGA,269000.0,52.0,2.0
AGUAS CLARAS,279000.0,35.0,1.0
VICENTE PIRES,900000.0,293.0,3.0
ASA NORTE,4500000.0,268.0,3.0
,800000.0,61.0,2.0
,900000.0,317.0,3.0
ASA NORTE,1410000.0,94.0,3.0
JARDIM BOTANICO,2279990.0,535.0,4.0
RIACHO FUNDO,250000.0,69.0,2.0
NOROESTE,2077140.0,159.0,2.0
LAGO SUL,2950000.0,693.0,7.0
SOBRADINHO,230000.0,80.0,2.0
ASA NORTE,1120000.0,78.0,2.0
JARDIM BOTANICO,349000.0,495.0,20.0
VICENTE PIRES,680000.0,172.0,3.0
AGUAS CLARAS,2080000.0,243.0,4.0
AGUAS CLARAS,510000.0,57.0,2.0
VICENTE PIRES,1850000.0,369.0,4.0
TAGUATINGA,287000.0,59.0,3.0
ASA NORTE,307500.0,26.0,1.0
SUDOESTE,2250000.0,144.0,4.0
SAMAMBAIA,368000.0,60.0,2.0
AGUAS CLARAS,865000.0,93.0,3.0
TAGUATINGA,295000.0,41.0,2.0
JARDIM BOTANICO,1190000.0,265.0,3.0
JARDIM BOTANICO,5500000.0,20000.0,3.0
AGUAS CLARAS,520000.0,59.0,2.0
ARNIQUEIRA,3690000.0,1060.0,4.0
ASA NORTE,379000.0,34.0,1.0
AGUAS CLARAS,699000.0,90.0,3.0
AGUAS CLARAS,210000.0,32.0,1.0
,3600000.0,489.0,6.0
VICENTE PIRES,840000.0,200.0,3.0
LAGO SUL,11800000.0,1245.0,6.0
JARDINS MANGUEIRAL,630000.0,68.0,2.0
SOBRADINHO,880000.0,170.0,3.0
LAGO SUL,10390000.0,600.0,5.0
ASA NORTE,1690000.0,131.0,3.0
AGUAS CLARAS,690000.0,108.0,3.0
NOROESTE,2347670.0,185.0,2.0
ARNIQUEIRA,3500000.0,440.0,4.0
PARK WAY,1490000.0,260.0,3.0
PARK WAY,3600000.0,510.0,4.0
ASA NORTE,1580000.0,124.0,3.0
ASA NORTE,1830000.0,124.0,4.0
VICENTE PIRES,1147000.0,500.0,3.0
ASA NORTE,999000.0,115.0,3.0
AGUAS CLARAS,840000.0,106.0,4.0
TAGUATINGA,700000.0,106.0,3.0
VICENTE PIRES,1150000.0,220.0,2.0
ASA NORTE,230000.0,19.0,1.0
SUDOESTE,2758779.0,146.0,4.0
RIACHO FUNDO,190000.0,50.0,2.0
VICENTE PIRES,1500000.0,247.0,4.0
LAGO SUL,4700000.0,627.0,4.0
VICENTE PIRES,1890000.0,349.0,3.0
SAMAMBAIA,451500.0,150.0,3.0
TAGUATINGA,550000.0,102.0,2.0
AGUAS CLARAS,400000.0,32.0,1.0
SIA,389997.0,35.0,1.0
SAMAMBAIA,200000.0,33.0,1.0
AGUAS CLARAS,250000.0,23.0,1.0
SOBRADINHO,1300000.0,350.0,5.0
GAMA,800000.0,250.0,4.0
LAGO SUL,4100000.0,770.0,4.0
GAMA,849999.0,220.0,3.0
VICENTE PIRES,817000.0,305.0,4.0
AGUAS CLARAS,400000.0,42.0,1.0
VICENTE PIRES,1490000.0,464.0,3.0
VICENTE PIRES,1750000.0,350.0,3.0
TAGUATINGA,250000.0,64.0,2.0
SUDOESTE,1100000.0,79.0,2.0
PARK WAY,4200000.0,750.0,5.0
GUARA,385000.0,48.0,2.0
CEILANDIA,550000.0,280.0,4.0
VICENTE PIRES,1950000.0,360.0,4.0
AGUAS CLARAS,1570000.0,183.0,3.0
GUARA,780000.0,72.0,3.0
LAGO NORTE,1680000.0,320.0,3.0
SOBRADINHO,1850000.0,450.0,3.0
GUARA,1480000.0,367.0,4.0
OCTOGONAL,1780000.0,125.0,4.0
AGUAS CLARAS,2638000.0,229.0,4.0
AGUAS CLARAS,369000.0,41.0,1.0
JARDIM BOTANICO,3500000.0,500.0,6.0
AGUAS CLARAS,525000.0,53.0,2.0
GUARA,478000.0,60.0,2.0
NOROESTE,690000.0,40.0,1.0
SAMAMBAIA,219829.0,45.0,2.0
PARK WAY,1380000.0,1870.0,5.0
AGUAS CLARAS,760000.0,90.0,3.0
AGUAS CLARAS,648000.0,70.0,3.0
SUDOESTE,1159000.0,74.0,2.0
SOBRADINHO,1100000.0,292.0,2.0
JARDINS MANGUEIRAL,490000.0,88.0,2.0
AGUAS CLARAS,250000.0,30.0,1.0
AGUAS CLARAS,485000.0,58.0,2.0
RIACHO FUNDO,800000.0,345.0,6.0
SOBRADINHO,799000.0,140.0,3.0
ASA SUL,820000.0,55.0,2.0
AGUAS CLARAS,385000.0,41.0,1.0
AGUAS CLARAS,950000.0,146.0,3.0
AGUAS CLARAS,420000.0,45.0,1.0
PARK SUL,5700000.0,404.0,4.0
SOBRADINHO,950000.0,640.0,4.0
JARDIM BOTANICO,880000.0,156.0,4.0
ASA SUL,850000.0,89.0,3.0
ARNIQUEIRA,1690000.0,300.0,4.0
VICENTE PIRES,650000.0,183.0,3.0
SAMAMBAIA,430000.0,112.0,3.0
AGUAS CLARAS,575000.0,56.0,2.0
GUARA,780000.0,62.0,2.0
ASA SUL,1980000.0,310.0,5.0
ARNIQUEIRA,1595000.0,910.0,6.0
ASA NORTE,1150000.0,84.0,3.0
LAGO NORTE,2760000.0,530.0,6.0
ASA NORTE,1470000.0,110.0,3.0
JARDIM BOTANICO,1320000.0,218.0,3.0
PARK WAY,2800000.0,767.0,4.0
LAGO NORTE,4300000.0,729.0,3.0
AGUAS CLARAS,2100000.0,243.0,4.0
LAGO SUL,6490000.0,750.0,5.0
AGUAS CLARAS,450000.0,49.0,2.0
NOROESTE,429000.0,34.0,1.0
PARK WAY,4800000.0,450.0,4.0
SOBRADINHO,320000.0,125.0,2.0
SAMAMBAIA,495000.0,180.0,4.0
RECANTO DAS EMAS,259999.0,150.0,2.0
PARK WAY,2250000.0,650.0,5.0
TAGUATINGA,260000.0,76.0,2.0
PARK WAY,2145000.0,369.0,4.0
SOBRADINHO,900000.0,216.0,3.0
AGUAS CLARAS,349000.0,42.0,1.0
PARK WAY,1750000.0,200.0,2.0
TAGUATINGA,500000.0,200.0,3.0
AGUAS CLARAS,380000.0,42.0,1.0
PARK WAY,1900000.0,576.0,4.0
AGUAS CLARAS,359000.0,34.0,1.0
AGUAS CLARAS,749900.0,102.0,3.0
AGUAS CLARAS,252000.0,39.0,1.0
JARDIM BOTANICO,1690000.0,351.0,4.0
AGUAS CLARAS,465000.0,45.0,1.0
VICENTE PIRES,1690000.0,300.0,4.0
SOBRADINHO,270000.0,80.0,2.0
PLANALTINA,220000.0,180.0,7.0
VICENTE PIRES,1650000.0,230.0,3.0
ASA SUL,2150000.0,172.0,3.0
ASA SUL,515000.0,50.0,2.0
ASA NORTE,245000.0,25.0,1.0
RIACHO FUNDO,800000.0,140.0,5.0
ASA NORTE,1450000.0,110.0,3.0
TAGUATINGA,870000.0,277.0,4.0
AGUAS CLARAS,990000.0,108.0,4.0
AGUAS CLARAS,548000.0,64.0,2.0
CEILANDIA,600000.0,270.0,3.0
ASA NORTE,2180000.0,202.0,2.0
SOBRADINHO,1790000.0,400.0,5.0
SOBRADINHO,1940000.0,280.0,3.0
ASA SUL,880000.0,49.0,1.0
SOBRADINHO,550000.0,113.0,3.0
GUARA,660000.0,90.0,3.0
SUDOESTE,3959430.0,172.0,4.0
AGUAS CLARAS,1200000.0,141.0,4.0
PARK WAY,3900000.0,726.0,4.0
,1100000.0,280.0,3.0
AGUAS CLARAS,878000.0,97.0,4.0
SOBRADINHO,599000.0,150.0,2.0
SOBRADINHO,665000.0,71.0,2.0
GUARA,1100000.0,205.0,6.0
ASA SUL,150000.0,32.0,1.0
AGUAS CLARAS,699000.0,83.0,3.0
GUARA,1245000.0,400.0,4.0
CEILANDIA,465000.0,144.0,4.0
SAMAMBAIA,371613.0,54.0,2.0
SOBRADINHO,650000.0,435.0,1.0
ASA SUL,2250000.0,148.0,4.0
PARK WAY,2550000.0,540.0,5.0
NOROESTE,4550000.0,301.0,4.0
SAMAMBAIA,480000.0,64.0,2.0
ASA NORTE,2199000.0,178.0,2.0
RIACHO FUNDO,605000.0,220.0,3.0
PARK SUL,1950000.0,129.0,4.0
AGUAS CLARAS,695000.0,68.0,2.0
PARK WAY,3470000.0,740.0,4.0
SOBRADINHO,1100000.0,0.0,2.0
NOROESTE,1890000.0,148.0,2.0
SUDOESTE,690000.0,62.0,2.0
AGUAS CLARAS,750000.0,103.0,2.0
VICENTE PIRES,2390000.0,520.0,5.0
LAGO NORTE,2450000.0,507.0,4.0
LAGO NORTE,690000.0,69.0,1.0
AGUAS CLARAS,740000.0,88.0,3.0
NOROESTE,2790000.0,185.0,4.0
ARNIQUEIRA,750000.0,200.0,2.0
AGUAS CLARAS,550000.0,60.0,2.0
TAQUARI,2350000.0,412.0,4.0
VICENTE PIRES,579000.0,150.0,2.0
AGUAS CLARAS,590000.0,67.0,2.0
JARDINS MANGUEIRAL,295000.0,50.0,2.0
SOBRADINHO,650000.0,200.0,3.0
SOBRADINHO,350000.0,91.0,3.0
ASA NORTE,2149000.0,189.0,4.0
JARDIM BOTANICO,1850000.0,450.0,5.0
BRAZLANDIA,6000000.0,0.0,20.0
SOBRADINHO,799000.0,179.0,5.0
PARK SUL,850000.0,50.0,1.0
ASA NORTE,1599000.0,100.0,3.0
VICENTE PIRES,1100000.0,500.0,3.0
AGUAS CLARAS,390000.0,57.0,2.0
AGUAS CLARAS,335000.0,39.0,2.0
JARDIM BOTANICO,4500000.0,750.0,5.0
PARK SUL,2100000.0,129.0,4.0
CRUZEIRO,749000.0,83.0,3.0
AGUAS CLARAS,1490000.0,202.0,4.0
,739900.0,139.0,3.0
NOROESTE,2570000.0,160.0,4.0
AGUAS CLARAS,705000.0,80.0,2.0
JARDINS MANGUEIRAL,570000.0,68.0,3.0
SOBRADINHO,1450000.0,200.0,3.0
ASA SUL,1650000.0,120.0,3.0
AGUAS CLARAS,825000.0,74.0,3.0
LAGO NORTE,530000.0,53.0,2.0
ASA NORTE,295000.0,29.0,1.0
ASA NORTE,1570000.0,137.0,3.0
NOROESTE,1300000.0,84.0,2.0
AGUAS CLARAS,420000.0,57.0,2.0
AGUAS CLARAS,620000.0,78.0,2.0
ASA NORTE,1070000.0,73.0,2.0
LAGO SUL,7480000.0,989.0,6.0
PARK SUL,989000.0,64.0,2.0
AGUAS CLARAS,1325000.0,133.0,3.0
LAGO SUL,14000000.0,1840.0,7.0
RECANTO DAS EMAS,1999000.0,2.0,3.0
JARDIM BOTANICO,2600000.0,400.0,4.0
SAMAMBAIA,500000.0,78.0,3.0
ARNIQUEIRA,990000.0,240.0,3.0
LAGO SUL,3850000.0,547.0,4.0
SOBRADINHO,1100000.0,386.0,4.0
SOBRADINHO,1480000.0,300.0,5.0
SOBRADINHO,400000.0,100.0,3.0
AGUAS CLARAS,435000.0,100.0,2.0
ASA NORTE,519000.0,41.0,2.0
SOBRADINHO,860000.0,266.0,4.0
JARDIM BOTANICO,1550000.0,475.0,5.0
ASA SUL,2100000.0,136.0,2.0
GUARA,1660000.0,207.0,3.0
GUARA,270000.0,48.0,2.0
GAMA,510000.0,220.0,3.0
AGUAS CLARAS,1190000.0,120.0,3.0
GUARA,230000.0,53.0,2.0
PARANOA,1720000.0,550.0,4.0
NOROESTE,1380000.0,71.0,2.0
GUARA,387000.0,52.0,3.0
JARDIM BOTANICO,900000.0,160.0,3.0
ASA SUL,990000.0,63.0,2.0
AGUAS CLARAS,742900.0,99.0,2.0
VICENTE PIRES,2050000.0,300.0,4.0
ASA NORTE,335000.0,25.0,1.0
SOBRADINHO,1150000.0,280.0,3.0
GUARA,450000.0,53.0,2.0
TAGUATINGA,890000.0,260.0,5.0
VICENTE PIRES,2200000.0,1250.0,5.0
JARDIM BOTANICO,1398000.0,330.0,3.0
AGUAS CLARAS,480000.0,52.0,2.0
AGUAS CLARAS,297000.0,31.0,1.0
SAMAMBAIA,895000.0,220.0,3.0
SAMAMBAIA,350000.0,46.0,2.0
ASA NORTE,385000.0,25.0,1.0
RIACHO FUNDO,177000.0,50.0,2.0
ARNIQUEIRA,890000.0,400.0,3.0
,1430000.0,110.0,1.0
VICENTE PIRES,990000.0,200.0,4.0
PARK WAY,1990000.0,1080.0,5.0
NOROESTE,1840000.0,111.0,3.0
AGUAS CLARAS,780000.0,104.0,3.0
SAMAMBAIA,240000.0,60.0,3.0
ARNIQUEIRA,3790000.0,776.0,4.0
JARDIM BOTANICO,3100000.0,500.0,5.0
SAMAMBAIA,690000.0,150.0,3.0
SOBRADINHO,1300000.0,402.0,4.0
GAMA,749000.0,625.0,10.0
AGUAS CLARAS,1100000.0,600.0,8.0
LAGO SUL,3000000.0,360.0,4.0
SOBRADINHO,849000.0,306.0,4.0
AGUAS CLARAS,560000.0,82.0,3.0
SOBRADINHO,1250000.0,380.0,4.0
ASA NORTE,1400000.0,141.0,2.0
LAGO NORTE,3200000.0,575.0,5.0
LAGO NORTE,1350000.0,600.0,4.0
AGUAS CLARAS,800000.0,98.0,3.0
VICENTE PIRES,1735000.0,570.0,5.0
PARK WAY,6300000.0,663.0,3.0
JARDIM BOTANICO,990000.0,250.0,4.0
SOBRADINHO,850000.0,220.0,3.0
LAGO SUL,2950000.0,300.0,3.0
SUDOESTE,611000.0,26.0,1.0
LAGO SUL,3800000.0,399.0,5.0
NOROESTE,2570000.0,160.0,4.0
AGUAS CLARAS,730000.0,112.0,3.0
SAMAMBAIA,239000.0,58.0,2.0
JARDIM BOTANICO,1590000.0,400.0,4.0
JARDIM BOTANICO,4390000.0,678.0,4.0
SUDOESTE,469000.0,27.0,1.0
ARNIQUEIRA,1350000.0,350.0,4.0
PARK WAY,3050000.0,546.0,4.0
SOBRADINHO,650000.0,9.0,33.0
SOBRADINHO,950000.0,280.0,4.0
TAGUATINGA,1350000.0,350.0,5.0
,325000.0,9.0,20.0
CEILANDIA,316990.0,44.0,2.0
AGUAS CLARAS,1945000.0,157.0,4.0
AGUAS CLARAS,380000.0,58.0,2.0
LAGO NORTE,335000.0,32.0,1.0
SOBRADINHO,400000.0,149.0,3.0
ARNIQUEIRA,1190000.0,220.0,3.0
PARK WAY,4580000.0,800.0,4.0
ASA NORTE,1080000.0,90.0,3.0
SOBRADINHO,2300000.0,343.0,4.0
SOBRADINHO,850000.0,400.0,4.0
ARNIQUEIRA,945000.0,265.0,3.0
SOBRADINHO,2500000.0,380.0,4.0
,1290000.0,265.0,4.0
JARDIM BOTANICO,1750000.0,430.0,3.0
ASA SUL,1350000.0,108.0,3.0
SOBRADINHO,470000.0,240.0,5.0
SCIA,5499000.0,2550.0,90.0
LAGO NORTE,2700000.0,300.0,3.0
SOBRADINHO,2200000.0,500.0,5.0
VICENTE PIRES,1950000000.0,400.0,4.0
SAMAMBAIA,300000.0,122.0,3.0
SUDOESTE,2480000.0,200.0,3.0
NOROESTE,2700000.0,159.0,3.0
SOBRADINHO,830000.0,350.0,4.0
GUARA,330000.0,42.0,2.0
PARK WAY,4390000.0,607.0,5.0
NOROESTE,4500000.0,3.0,3.0
LAGO NORTE,2550000.0,418.0,5.0
JARDINS MANGUEIRAL,470000.0,68.0,2.0
CEILANDIA,490000.0,350.0,3.0
TAGUATINGA,1300000.0,300.0,3.0
NUCLEO BANDEIRANTE,1350000.0,505.0,4.0
SOBRADINHO,1750000.0,680.0,5.0
ASA NORTE,1470000.0,110.0,3.0
LAGO SUL,3600000.0,460.0,4.0
NOROESTE,1395000.0,85.0,2.0
VICENTE PIRES,550000.0,100.0,3.0
JARDINS MANGUEIRAL,295000.0,50.0,2.0
VICENTE PIRES,2500000.0,450.0,5.0
TAGUATINGA,349000.0,68.0,3.0
SAMAMBAIA,570000.0,70.0,3.0
TAGUATINGA,300000.0,46.0,2.0
ASA SUL,2600000.0,121.0,2.0
ASA NORTE,340000.0,38.0,1.0
ASA NORTE,2399000.0,175.0,3.0
SOBRADINHO,295000.0,139.0,4.0
JARDIM BOTANICO,2200000.0,361.0,4.0
PARK WAY,3800000.0,600.0,4.0
SUDOESTE,3490000.0,287.0,5.0
SOBRADINHO,745000.0,74.0,3.0
AGUAS CLARAS,1550000.0,180.0,4.0
SAMAMBAIA,413000.0,63.0,3.0
LAGO NORTE,4100000.0,440.0,4.0
NOROESTE,625000.0,34.0,1.0
AGUAS CLARAS,450000.0,70.0,2.0
GUARA,780000.0,170.0,2.0
ASA NORTE,4200000.0,343.0,4.0
LAGO NORTE,5980000.0,700.0,5.0
TAGUATINGA,569000.0,69.0,3.0
VICENTE PIRES,1400000.0,234.0,3.0
PARK WAY,2850000.0,600.0,5.0
AGUAS CLARAS,2100000.0,235.0,4.0
JARDIM BOTANICO,1950000.0,265.0,3.0
JARDIM BOTANICO,680000.0,187.0,3.0
CRUZEIRO,540000.0,63.0,3.0
ARNIQUEIRA,1500000.0,335.0,5.0
AGUAS CLARAS,1000000.0,111.0,3.0
ASA NORTE,1380000.0,130.0,4.0
SUDOESTE,450000.0,25.0,1.0
GUARA,270000.0,70.0,2.0
LAGO NORTE,720000.0,60.0,2.0
JARDIM BOTANICO,990000.0,280.0,3.0
CEILANDIA,210000.0,52.0,2.0
AGUAS CLARAS,1599000.0,215.0,4.0
NOROESTE,1450000.0,79.0,2.0
AGUAS CLARAS,310000.0,32.0,1.0
ARNIQUEIRA,630000.0,150.0,2.0
NUCLEO BANDEIRANTE,690000.0,120.0,3.0
CEILANDIA,250000.0,150.0,3.0
AGUAS CLARAS,560000.0,58.0,2.0
JARDIM BOTANICO,1475000.0,446.0,4.0
PARK SUL,807000.0,47.0,1.0
AGUAS CLARAS,999990.0,132.0,4.0
GUARA,1150000.0,159.0,3.0
PARK WAY,3000000.0,424.0,4.0
LAGO NORTE,2200000.0,370.0,4.0
LAGO NORTE,414900.0,48.0,2.0
LAGO NORTE,1550000.0,0.0,3.0
ARNIQUEIRA,1250000.0,350.0,3.0
LAGO NORTE,4590000.0,666.0,6.0
AGUAS CLARAS,5900000.0,515.0,4.0
ASA SUL,1480000.0,135.0,3.0
ASA SUL,1370000.0,254.0,4.0
AGUAS CLARAS,799000.0,99.0,2.0
AGUAS CLARAS,340000.0,42.0,1.0
JARDIM BOTANICO,1540000.0,430.0,4.0
ARNIQUEIRA,450000.0,480.0,4.0
PARK WAY,2900000.0,385.0,4.0
,2599900.0,0.0,6.0
JARDINS MANGUEIRAL,735000.0,68.0,3.0
VICENTE PIRES,1700000.0,450.0,4.0
SAMAMBAIA,500000.0,59.0,2.0
SAMAMBAIA,549000.0,112.0,3.0
PARK WAY,1550000.0,450.0,4.0
AGUAS CLARAS,230000.0,41.0,2.0
VICENTE PIRES,1580000.0,950.0,3.0
NOROESTE,5350000.0,406.0,4.0
SUDOESTE,4500000.0,305.0,4.0
AGUAS CLARAS,649000.0,62.0,2.0
SAO SEBASTIAO,750000.0,280.0,4.0
NOROESTE,4720508.0,234.0,4.0
ASA NORTE,420000.0,40.0,1.0
LAGO SUL,3329000.0,300.0,5.0
GUARA,849000.0,200.0,3.0
CEILANDIA,459000.0,69.0,3.0
VICENTE PIRES,1950000.0,354.0,4.0
JARDIM BOTANICO,1580000.0,600.0,5.0
LAGO SUL,8700000.0,682.0,4.0
ASA SUL,850000.0,77.0,3.0
JARDIM BOTANICO,850000.0,280.0,3.0
VICENTE PIRES,2500000.0,430.0,4.0
NOROESTE,9500000.0,598.0,4.0
AGUAS CLARAS,733900.0,99.0,2.0
PARK WAY,2699000.0,880.0,3.0
ASA NORTE,1690000.0,137.0,3.0
PARK SUL,1200000.0,74.0,3.0
RECANTO DAS EMAS,250000.0,150.0,3.0
LAGO SUL,1550000.0,285.0,4.0
AGUAS CLARAS,905000.0,91.0,3.0
GUARA,1790000.0,124.0,4.0
ASA SUL,750000.0,82.0,3.0
VICENTE PIRES,1350000.0,350.0,4.0
GUARA,387000.0,55.0,2.0
VICENTE PIRES,155000.0,35.0,1.0
JARDIM BOTANICO,1200000.0,250.0,3.0
SOBRADINHO,1300000.0,483.0,5.0
JARDIM BOTANICO,850000.0,146.0,3.0
AGUAS CLARAS,380000.0,55.0,2.0
NOROESTE,3499000.0,201.0,4.0
ASA NORTE,1380000.0,129.0,4.0
ASA NORTE,2350000.0,240.0,4.0
ASA NORTE,825000.0,79.0,3.0
SOBRADINHO,1800000.0,580.0,3.0
RIACHO FUNDO,365000.0,245.0,2.0
SOBRADINHO,980000.0,340.0,4.0
AGUAS CLARAS,710000.0,147.0,3.0
SOBRADINHO,1075000.0,341.0,4.0
ARNIQUEIRA,990000.0,240.0,3.0
JARDIM BOTANICO,565000.0,102.0,2.0
AGUAS CLARAS,310000.0,32.0,1.0
SOBRADINHO,460000.0,60.0,2.0
AGUAS CLARAS,699000.0,90.0,3.0
GUARA,780000.0,180.0,3.0
JARDIM BOTANICO,970000.0,200.0,3.0
VICENTE PIRES,2499000.0,930.0,6.0
VICENTE PIRES,580000.0,536.0,3.0
ARNIQUEIRA,1500000.0,432.0,4.0
GUARA,1790000.0,148.0,3.0
AGUAS CLARAS,319000.0,35.0,1.0
LAGO NORTE,4850000.0,750.0,6.0
AGUAS CLARAS,379000.0,39.0,1.0
AGUAS CLARAS,2280000.0,202.0,4.0
ASA NORTE,719000.0,60.0,2.0
ARNIQUEIRA,2380000.0,330.0,4.0
PARK WAY,3650000.0,550.0,4.0
SUDOESTE,695000.0,60.0,2.0
ARNIQUEIRA,725000.0,216.0,4.0
AGUAS CLARAS,730000.0,108.0,3.0
PARK SUL,1980000.0,129.0,4.0
ASA SUL,1080000.0,125.0,3.0
AGUAS CLARAS,425000.0,50.0,1.0
ASA NORTE,560000.0,37.0,1.0
OCTOGONAL,1229000.0,86.0,3.0
VICENTE PIRES,1500000.0,400.0,4.0
SOBRADINHO,1299000.0,250.0,4.0
ASA NORTE,220000.0,23.0,1.0
ASA NORTE,1299000.0,113.0,3.0
ASA NORTE,1250000.0,206.0,3.0
AGUAS CLARAS,630000.0,90.0,3.0
VICENTE PIRES,1470000.0,350.0,6.0
TAQUARI,2140000.0,297.0,3.0
TAGUATINGA,850000.0,500.0,4.0
NOROESTE,4200000.0,294.0,4.0
AGUAS CLARAS,1490000.0,118.0,3.0
JARDIM BOTANICO,1149000.0,523.0,3.0
NOROESTE,524000.0,35.0,1.0
GUARA,1290000.0,232.0,3.0
,145000.0,46.0,2.0
AGUAS CLARAS,480000.0,55.0,2.0
GUARA,429000.0,71.0,3.0
,1500000.0,105.0,2.0
,700000.0,265.0,5.0
,1995000.0,300.0,3.0
AGUAS CLARAS,400000.0,38.0,1.0
LAGO SUL,1950000.0,473.0,5.0
SOBRADINHO,680000.0,150.0,2.0
ARNIQUEIRA,670000.0,400.0,3.0
GUARA,1499000.0,113.0,3.0
SANTA MARIA,580000.0,160.0,4.0
AGUAS CLARAS,899000.0,97.0,4.0
RIACHO FUNDO,310000.0,160.0,3.0
GUARA,1090000.0,356.0,4.0
JARDIM BOTANICO,1450000.0,280.0,3.0
AGUAS CLARAS,569000.0,83.0,2.0
AGUAS CLARAS,357500.0,55.0,1.0
SAMAMBAIA,415234.0,54.0,2.0
PARK WAY,4800000.0,902.0,8.0
AGUAS CLARAS,1550000.0,132.0,4.0
PARK WAY,3090000.0,1000.0,8.0
GUARA,1250000.0,81.0,3.0
VICENTE PIRES,850000.0,180.0,3.0
SOBRADINHO,1490000.0,350.0,5.0
AGUAS CLARAS,970000.0,103.0,3.0
AGUAS CLARAS,949000.0,129.0,3.0
AGUAS CLARAS,855000.0,127.0,3.0
GUARA,729000.0,65.0,2.0
ASA NORTE,670000.0,66.0,1.0
SUDOESTE,3790248.0,173.0,4.0
AGUAS CLARAS,540000.0,60.0,2.0
AGUAS CLARAS,475000.0,56.0,2.0
TAGUATINGA,780000.0,200.0,4.0
SOBRADINHO,290000.0,305.0,4.0
GUARA,950000.0,400.0,3.0
ASA NORTE,670000.0,66.0,2.0
AGUAS CLARAS,720000.0,74.0,3.0
ASA NORTE,1400000.0,141.0,2.0
AGUAS CLARAS,1795000.0,168.0,3.0
PARK WAY,1480000.0,280.0,3.0
JARDIM BOTANICO,1390000.0,650.0,4.0
,3300000.0,0.0,4.0
SAMAMBAIA,689000.0,153.0,3.0
ASA NORTE,280000.0,31.0,1.0
SOBRADINHO,970000.0,540.0,4.0
,1899000.0,380.0,4.0
AGUAS CLARAS,439000.0,60.0,2.0
OCTOGONAL,1590000.0,105.0,3.0
SOBRADINHO,1990000.0,300.0,4.0
SOBRADINHO,2900000.0,781.0,4.0
GAMA,460000.0,71.0,3.0
LAGO SUL,24900000.0,1200.0,4.0
NOROESTE,2290000.0,163.0,3.0
JARDIM BOTANICO,1600000.0,405.0,5.0
JARDIM BOTANICO,1494000.0,479.0,5.0
AGUAS CLARAS,1099000.0,94.0,3.0
NOROESTE,1500000.0,67.0,2.0
AGUAS CLARAS,430000.0,45.0,1.0
GUARA,540000.0,142.0,3.0
SOBRADINHO,1429000.0,350.0,4.0
SOBRADINHO,650000.0,250.0,4.0
SOBRADINHO,680000.0,180.0,4.0
NOROESTE,2099900.0,174.0,2.0
SOBRADINHO,1000000.0,459.0,3.0
TAGUATINGA,1250000.0,300.0,3.0
TAGUATINGA,850000.0,184.0,3.0
OCTOGONAL,910000.0,65.0,2.0
ARNIQUEIRA,835000.0,200.0,3.0
GUARA,1500000.0,220.0,7.0
PARK WAY,3300000.0,600.0,6.0
VICENTE PIRES,890000.0,400.0,3.0
ASA NORTE,1450000.0,123.0,3.0
GUARA,1450000.0,330.0,3.0
SUDOESTE,3100000.0,172.0,4.0
JARDIM BOTANICO,695000.0,163.0,3.0
LAGO SUL,5300000.0,800.0,4.0
LAGO NORTE,4500000.0,504.0,5.0
JARDIM BOTANICO,2200000.0,435.0,4.0
ASA SUL,1980000.0,310.0,4.0
GUARA,400000.0,52.0,2.0
ARNIQUEIRA,1290000.0,350.0,3.0
ASA NORTE,488000.0,37.0,1.0
VICENTE PIRES,1080000.0,180.0,3.0
SOBRADINHO,495000.0,87.0,2.0
SOBRADINHO,580000.0,200.0,3.0
SOBRADINHO,1690000.0,277.0,4.0
GUARA,2890000.0,600.0,5.0
ARNIQUEIRA,1650000.0,300.0,3.0
SOBRADINHO,1400000.0,500.0,4.0
VICENTE PIRES,1399000.0,250.0,3.0
VICENTE PIRES,2999000.0,850.0,5.0
GUARA,800000.0,200.0,3.0
AGUAS CLARAS,780000.0,103.0,3.0
SAMAMBAIA,370000.0,58.0,2.0
AGUAS CLARAS,695000.0,98.0,3.0
JARDIM BOTANICO,1549000.0,164.0,2.0
AGUAS CLARAS,1030000.0,118.0,3.0
SOBRADINHO,1170000.0,286.0,4.0
,1720000.0,321.0,5.0
PARK SUL,1310000.0,79.0,3.0
AGUAS CLARAS,1100000.0,118.0,3.0
ASA NORTE,2120000.0,143.0,3.0
AGUAS CLARAS,300000.0,33.0,1.0
ASA NORTE,789000.0,65.0,2.0
VICENTE PIRES,2150000.0,340.0,3.0
AGUAS CLARAS,530000.0,70.0,3.0
NOROESTE,2632500.0,175.0,2.0
AGUAS CLARAS,498000.0,66.0,3.0
LAGO NORTE,370000.0,30.0,1.0
