BAIRRO,VALOR,AREA,QUARTOS,VALOR_M2,LOG_VALOR_M2
AGUAS CLARAS,590000.0,90.0,3.0,6555.555555555556,8.788220676291115
AGUAS CLARAS,595000.0,64.0,2.0,9296.875,9.137541158408817
ASA SUL,2900000.0,208.0,4.0,13942.307692307691,9.542754936821263
AGUAS CLARAS,2250000.0,268.0,4.0,8395.522388059702,9.035572897687691
AGUAS CLARAS,719000.0,93.0,3.0,7731.182795698925,8.95314648149974
ASA NORTE,1345000.0,77.0,2.0,17467.532467532466,9.768156396596359
AGUAS CLARAS,1185000.0,132.0,3.0,8977.272727272728,9.102562796166389
ASA NORTE,1690000.0,135.0,4.0,12518.518518518518,9.435044186927263
ASA SUL,1490000.0,231.0,3.0,6450.2164502164505,8.772023988940436
JARDIM BOTANICO,1295000.0,165.0,3.0,7848.484848484848,8.968203184226244
AGUAS CLARAS,1720000.0,189.0,4.0,9100.5291005291,9.11619771141415
AGUAS CLARAS,780000.0,80.0,3.0,9750.0,9.18512512283512
AGUAS CLARAS,1100000.0,112.0,4.0,9821.42857142857,9.192423679472203
AGUAS CLARAS,650000.0,69.0,3.0,9420.289855072464,9.150727285486793
SOBRADINHO,1198000.0,283.0,3.0,4233.21554770318,8.350953359162155
AGUAS CLARAS,655000.0,67.0,2.0,9776.119402985074,9.187800180071486
ASA NORTE,880000.0,79.0,3.0,11139.240506329113,9.31831910268531
AGUAS CLARAS,1480000.0,140.0,3.0,10571.42857142857,9.2660048132518
ASA NORTE,2150000.0,160.0,1.0,13437.5,9.505879000705743
GUARA,329000.0,60.0,2.0,5483.333333333333,8.60965082171854
TAGUATINGA,495000.0,99.0,2.0,5000.0,8.517393171418904
SUDOESTE,1380000.0,79.0,3.0,17468.354430379746,9.768203449404666
AGUAS CLARAS,578000.0,83.0,2.0,6963.855421686747,8.848632128164539
AGUAS CLARAS,619000.0,66.0,2.0,9378.787878787878,9.146312427542847
NOROESTE,3488265.0,208.0,4.0,16770.50480769231,9.727436582913949
JARDIM BOTANICO,1290000.0,445.0,3.0,2898.876404494382,7.972423395926476
AGUAS CLARAS,635000.0,74.0,2.0,8581.081081081082,9.057431713314005
AGUAS CLARAS,899000.0,97.0,3.0,9268.041237113403,9.134435226793912
AGUAS CLARAS,2080000.0,245.0,4.0,8489.795918367347,9.046738022657795
AGUAS CLARAS,960000.0,99.0,3.0,9696.969696969696,9.179671832992412
AGUAS CLARAS,950000.0,115.0,4.0,8260.869565217392,9.019406180518773
JARDIM BOTANICO,1830000.0,280.0,4.0,6535.714285714285,8.785189915408692
ASA SUL,950000.0,67.0,3.0,14179.10447761194,9.559595168014683
ASA NORTE,482480.0,60.0,1.0,8041.333333333333,8.992474535657337
AGUAS CLARAS,1280000.0,126.0,3.0,10158.730158730159,9.22618716159967
